ind,nid,xcor,ycor
0,1,303320.617745,2767382.48664
1,2,302785.877885,2771281.42366
2,3,300505.620243,2771305.81248
3,4,305652.479553,2770161.87673
4,5,304737.977402,2766140.71054
5,6,305473.764597,2768218.16719
6,7,306517.562383,2768919.35195
7,8,307898.805107,2772060.12099
8,9,300004.641487,2776215.05223
9,10,305238.016779,2769278.40855
10,11,304808.95161,2770914.9064
11,12,306224.28911,2772691.45725
12,13,303798.532769,2769000.5114
13,14,303883.555678,2769850.89254
14,15,300226.879861,2770044.56508
15,16,303864.133549,2770835.15854
16,17,303933.363192,2771813.78691
17,18,303271.868835,2772566.82325
18,19,302641.893032,2773281.87603
19,20,303604.381614,2773577.46257
20,21,308959.126714,2773755.26431
21,22,306762.455573,2779571.50081
22,23,296681.592416,2779608.68743
23,24,305365.911535,2763673.17621
